Question,Answer
Is the sale of plants and flowers allowed in shops selling food and pet food?,"Shops selling food and pet food may also sell flowers and plants subject to social distancing measures. Retail outlets that only sell flowers and plants remain closed as ‘non-essential’ businesses, although they can be active online with home delivery."
Is my local market open?,"Markets are prohibited except in municipalities where they are necessary for the food supply of the local population, when there is no supermarket, for example. If so, only food stands may open and the local government must be able to guarantee the measures of social distance. If that is not possible, the market will be closed."
Can a market stall provide home deliveries?,"Yes, home deliveries are possible, subject to social distancing measures."
Can opticians and auditory care shops remain open?,"The shops must be closed and customers can only receive care in an emergency, subject to social distancing measures. Care or sales which can be postponed must be postponed. People are expressly advised not to have eye tests, due to the risk of contamination via eye fluid."
May paramedical shops remain open?,"No, paramedical stores have to close."
What about hairdressers?,Hairdressers have to close.
What about beauty salons and sun centers?,Beauty salons and sun centres are closed. Beauticians cannot offer their services at home.
Can tattoo shops stay open?,"No, tattoo shops have to close."
Can construction activities continue?,"Construction activities may take place outdoors, subject to social distancing measures. This also applies to working indoors in vacant buildings and dwellings. For indoor repairs, urgency in the context of safety, welfare and hygiene is a strict requirement (plumbers, repairs)."
"Can urgent repairs for safety, hygiene and ICT continue?","All urgent repairs can be carried out. Plumbers, garages, telecom suppliers, … can do urgent repairs."
What about chimney sweepers?,"They are allowed to continue their activities, subject to social distancing measures."
Are repair services allowed to continue their activities?,"Garages, tyre workshops and windscreen repair shops can only remain open for urgent repairs by appointment and subject to precautionary measures. Bike repair shops can also operate by appointment only and subject to social distancing measures, for urgent repairs. Urgent repairs/intervention at home can be carried out at the request of the consumer or the company, by appointment and subject to social distancing measures."
What about car breakdown assistance?,The vehicle breakdown service can remain operational during the week and weekends.
Are carwashes open?,"No, carwashes are closed."
Can laundries stay open?,"Yes, laundries can stay open according to their normal schedules. They have to respect hygiene measures and social distance."
"Can cleaning services (service cheques, etc.) continue to work at customers' homes?","Yes, subject to social distancing measures."
Can independent window washers or window washers companies continue to work and meet the demands of companies that call on them?,"Yes, if they respect social distance."
"Should workers who work outside (municipal workers, green services, etc.) stay at home?","They may continue to work if social distance is respected, both during transport and at the workplace."
Are photographers allowed to do assignments outdoors?,"No, they can’t."
Can I still go to the bank and the post office?,"These services fall under the exceptions that can remain open during their normal opening hours, subject to social distancing measures."
Can the National Bank stay open?,"Yes, subject to social distancing measures. The counters are closed, but the National Bank continues to operate."
Can bureaux de change and international money transfer agencies remain open?,"These services can remain open, subject to social distancing measures. International payment flows must remain guaranteed."
Can insurance offices stay open?,"Yes, but they are encouraged to use internet and telephony to continue their activities."
Can an insurance expert go on site?,Insurance experts can go on site in the course of their professional activities but only for urgent assessments and in compliance with social distancing measures.
"Are lawyers, civil-law notaries and bailiffs allowed to continue to receive clients, mainly for signing deeds?","Yes, if necessary and if social distance is respected. Teleworking and electronical communication with their clients should be applied as much as possible."
"Can mobile sales representatives continue to travel and work, given that working remotely is not feasible in their case?","No, commercial representatives are not allowed to continue their activities."
"Can activities related to the housing market (such as home visits by estate agents, inspections by the municipal service for territorial matters, etc.) still take place?","No. A current sale may be completed, but new sales procedures may not be organised at the moment."
May surveyors continue to work?,"Necessary work may continue, non-necessary work has to be postponed."
"Is it allowed to move house, with or without removals companies?","Yes, moving house in urgent cases is allowed, subject to social distancing measures. It is recommended to postpone a non-essential house move."
"I work in the private and special security sector, may I go to work?","The services of private and particular security have been explicitly considered as essential services. Keep in mind, these are only the fundamental and necessary activities of the private and particular security sector."
Are sales and deliveries to professionals allowed?,"Yes, wholesale businesses can remain open to professionals, subject to social distancing measures. Sales in shops or remotely, deliveries and collection in shops for professionals are allowed, subject to social distancing measures."
"Can wholesale markets (for professional customers) continue (early market Brussels, fish market Zeebrugge, ...)?","Yes, if the social distance is followed as far as possible."
Can building materials dealers continue to supply their customers?,"Yes, but only for professional use and in accordance with the rule of one customer per 10m². For private individuals, only delivery is possible."
Can shops that supply the agricultural sector remain open?,"Yes, all companies that supply to the agricultural sector (phytoproducts, animal feed, etc.) continue to work but respect social distance and apply teleworking wherever possible."
Can industrial laundries that mainly wash (bed) sheets from care centers stay open?,"Yes, they can, following the measures of general hygiene and social distancing."
"My dog or cat is sick, can I still go to the vet?","Yes, we don’t lose sight of your pet’s health."
Are animal shelters open?,Animal shelters are closed. No visits are allowed. Adopting and giving up animals is possible by appointment only and subject to social distancing measures. Reception and essential care for animals is crucial and is therefore allowed. Volunteers are also allowed to contribute in this regard.
Can animal hotels stay open?,"Animal hotels are open but only for people who need an essential shelter for the animal (e.g. due to death of a close relative, hospitalisation, etc.)."
Can animal crematoria stay open?,"Yes, only by appointment and subject to social distancing measures."
Are animal grooming salons open?,"No, they are closed."
Are gatherings allowed?,"Private and public activities of a cultural, social, festive, folkloric, sporting and recreational nature are prohibited. One exception to this is individual physical activity, or activity with family members living under the same roof, or the same friend each time (distance of 1.5 meters). As regards outdoor activities, only cycling, walking and walking tours are allowed. Travelling by car must be strictly avoided in this regard."
Are concerts and festivals canceled?,"All events, both indoor and outdoor and regardless of the size of the public, are?canceled?until April 19 included."
Do theaters and cinemas stay open?,"Theaters, operas, cinemas and cultural?centers?are closed to the public until April 19 included."
"What about processions, carnivals, student parties...?",These are forbidden until 19 April included.
"Are museums, exhibitions, tourist attractions still accessible?","Museums, exhibitions and tourist attractions are closed to the public until 19 April included. Tourist agencies are also closed."
Do drawing and music academies still organize their courses?,They can only give classes remotely.
Are theme parks and recreation centers closed?,"Amusement parks, animal parks, indoor and outdoor playgrounds, petting zoos, casinos, gambling offices, leisure centres are closed until 19 April included."
Will sporting activities take place?,"Sports meetings, events, group sports training, with or without an audience, are?canceled?until April 19 included."
Can I do individual sports or go for a walk?,"Yes, as long as this activity is practised only between family members living under the same roof or always with the same friend, respecting 1.5 metres between each person."
Are sports halls closed?,"Sports halls (including personal training), swimming pools, gymnasiums and golf clubs will be closed until 19 April included."
What about sports competitions and activities within the framework of youth movements?,"Activities within the framework of youth movements, sports competitions, sports and leisure camps, group activities (group cycling, group walks…), go-karts for one or more people, private riding lessons, surfing…), playgrounds (indoor and outdoor), … are canceled until 5 April included."
Do elite athletes get exceptional access to sports facilities?,"Yes, if they have elite sport status and they only do their training in an individual context. Group training is prohibited."
Are water sports allowed?,No.
Can I still use my drone?,"Recreational use of your drone is only allowed on your own private land, around your home. More information can be found at: https://mobilit.belgium.be/nl/luchtvaart/drones/dronevluchten_covid19."
Is the private rental of bouncy castles allowed?,No.
What about prostitution and prostitution neighborhoods?,They’re closing.
Can places of worship remain open to the public despite the fact that services are prohibited?,"Yes, religious buildings and premises remain open, subject to social distancing measures. The managers of these buildings are expected to lay down the necessary rules in this regard, and ensure strict compliance."
Can religious services continue?,"No, religious services are prohibited, with the exception of funerals and cremations."
Should weddings be postponed?,"Civil marriage ceremonies can be celebrated, but not religious ceremonies. Wedding celebrations should be postponed."
What about funerals and cremations?,"Funerals and cremations in close circles are allowed, subject to social distancing measures."
Can ashes be scattered at sea?,"No, this has to be postponed."
Are cemeteries allowed to remain open?,"Yes, subject to social distancing measures."
May one go somewhere else?,You should stay at home at most to avoid contact with other people who do not live under the same roof.
Are there any exceptions to this rule?,"Travel is only allowed in cases of necessity and for urgent reasons, such as for example:"
Do I need a certificate to go to my place of work in Belgium?,"No, there is no attestation system."
Can I go walking or jogging?,"Yes, you’re allowed to get some air. You may only do this with people from your family who live under the same roof or with the same friend. You have to respect the social distance."
Does the car rental sector and their companies fall under essential services?,"Yes, but only for necessary travel and essential services, and subject to social distancing measures. You should avoid travel by car as much as possible."
What about carwashes for trucks (cleaning of trucks transporting food)? Can exceptions be made for these circumstances?,"This falls under essential service provision, if the cleaning is part of ensuring the safety of the food chain."
Can I still ride the bike recreationally?,"No, movements must be limited to a maximum."
Can I take a means of transportation to go to a forest/park for a walk?,Movements must be limited to a maximum.
Is it allowed to use electric scooters for walking?,"No, they are not allowed for recreational activities. However, they are permitted as means of transport for essential journeys."
What if I don't live under the same roof with my partner?,"You have to limit the contact to your family and possibly one extra person. So you can still visit your partner. Of course, don’t do it if you yourself or he or she is sick or shows symptoms."
Can I still get together with friends?,"No, all gatherings of 2 people or more are forbidden. Only family members living under the same roof can go out together."
May I visit my family who don't live with me?,"Visiting family who do not live under the same roof is not recommended, except to provide assistance to vulnerable family members (elderly, minors, disabled persons, other vulnerable persons)."
I'm in my dorm right now. Can I go back to my parents?,Students have to choose one place to stay for the all time of the crisis.
Can animal owners continue to visit their animals in the meadow or in the barn?,"Yeah, if you follow the social-distancing rules."
Can children of divorced parents still be taken from one parent to another?,"Yes, but try to limit all non-essential movements."
"Can I go to my holiday home, for example in the Ardennes or the coast?","No, this is not allowed. This is to prevent social mixing and to prevent health facilities in those regions from becoming overloaded."
Are specific measures taken for boats and cruise ships?,"Cruise ships and boats are not allowed to let passengers disembark, but can receive supplies. New cruises organised by boats or ships sailing under the Belgian flag are prohibited."
What about ferries to neighbouring countries?,"Unlike boats and cruise ships, ferry travel is not regarded as a recreational activity, but as a means of transport. Consequently, ferry crossings are not prohibited in the context of essential travel, subject to social distancing measures."
Can I get my driver's license?,"Driving lessons and exams are suspended. If, as a result of this suspension, the obligation with mandatory deadlines cannot be met, the person concerned will be granted a deferment."
"Is it still possible to use shared cars? However, shared scooters and shared bicycles?","Yes, these are regarded as means of transport and are therefore not prohibited but limited to 2 persons maximum."
Can I sit in a van with my colleague?,"Yes, only if you respect the social distance (1.5 meters)."
Are specific measures applicable to the transport of disabled persons or persons with reduced mobility?,"The most important thing is that no new social mixing occurs. Transport can therefore continue, but it must be ensured as much as possible that the same combination of drivers and persons with reduced mobility/disabled persons is maintained, subject to social distancing measures."
Are personal assistants for people with disabilities allowed to continue their activities?,"yes, absolutely."
Will public transport continue to run?,"Yes, however, it has to be organized to guarantee the respect of the social distancing rules."
What about taxi drivers (and other on-demand transport services)?,Taxi services and alternative taxi services remain in use. Taxi drivers are only allowed to transport one person at a time in the taxi. A family living under the same roof may travel together in one taxi. It is recommended to ventilate the taxi regularly.
Carpooling? How many people are allowed in a private car?,"As with taxis, only one person is allowed in the vehicle. A family is allowed in one vehicle. It is recommended to ventilate the car regularly. Travel by car should be avoided as much as possible."
What about voluntary transport of disabled and needy people?,"These initiatives may continue, but with only one person on top of the driver per journey."
Can companies continue to organize transport by bus for their employees?,"Yes, while respecting social distancing measures."
Can goods transport continue?,International goods transport is permitted.
Is it still allowed to travel abroad?,Any non-essential travel abroad is prohibited. The following reasons in particular are considered to be essential reasons for travelling abroad:
May tourists continue to travel to Belgium?,"No, tourism is forbidden. All recreational activities are forbidden."
Can I still go on a holiday or travel for business to a country or region with confirmed coronavirus cases?,The most recent travel advice can be found on the website of the FPS Foreign Affairs ( https://diplomatie.belgium.be/en/services/travelling_abroad/travel_advice_by_country ). The travel advice is continuously updated to enable travellers to make an informed decision.
Are specific measures taken for airports?,"For the time being, there are no restrictive measures for airports. Passengers must observe the social distancing measures and the airport operator must facilitate these."
Will the restaurants and tax-free shops at airports remain open?,"Yes, the restaurants and shops beyond security control remain open. This is with a view to spreading passengers as widely as possible in the airport terminal and subject to social distancing measures."
Is frontier work still permitted (e.g. French people working in Belgium)?,"Yes, frontier workers may continue to carry out their activities within the limits of the measures imposed."
What about co-parenting for children between parents living on both sides of the border?,"Co- parenthood of parents living in the border region (one in Belgium, the other in The Netherlands for example) can continue."
What rules apply to Belgians and other residents of our country who return via an airport?,"Apart from the guidelines that apply to all residents of our country, these persons must remain in home quarantine for 2 weeks. This means that even if they are employed in an essential sector, they are not allowed to go to work. They can only do teleworking."
What rules apply to the persons who intend to pick up these people returning home from the airport?,"Apart from the guidelines that apply to all residents of our country, these persons must remain in home quarantine for 2 weeks. This means that even if they are employed in an essential sector, they are not allowed to go to work. They can only do teleworking."
Some people have family living abroad and want to go to them to support them. Is this allowed?,"If possible, see if there is an alternative solution. If not, this is only possible if the family member needs help, but it should be checked whether the country in question allows this as well."
What about people stuck in a foreign country?,You will find the necessary information on the website of the FPS Foreign Affairs: http://diplomatie.belgium.be/nl.
I booked a flight/a trip to a country concerned by the coronavirus. What will happen if I decide to cancel it?,The FPS Economy has published advice for travellers in your situation. You will find it on their website ( https://economie.fgov.be/fr/themes/entreprises/coronavirus/informations-pour-les/pas-encore-parti/coronavirus-annulation-par ) (Information only available in French or Dutch).
I booked a flight/a trip that has been cancelled because of the coronavirus. What are my rights?,The FPS Economy has published advice for travellers in your situation. You will find it on their website ( https://economie.fgov.be/fr/themes/entreprises/coronavirus/informations-pour-les/pas-encore-parti/coronavirus-annulation-par) (Information only available in French or Dutch).
I am abroad and my return flight has been cancelled as a consequence of the coronavirus. What can I do?,The FPS Economy has published advice for travellers in your situation. You will find it on their website ( https://economie.fgov.be/fr/themes/entreprises/coronavirus/informations-pour-les/pas-encore-parti/coronavirus-annulation-par ) (Information only available in French or Dutch).
I am abroad and I am not allowed to leave the country because of the coronavirus. What are my rights?,The FPS Economy has published advice for travellers in your situation. You will find it on their website ( https://economie.fgov.be/fr/themes/entreprises/coronavirus/informations-pour-les/pas-encore-parti/coronavirus-annulation-par ) (Information only available in French or Dutch).
Is teleworking mandatory?,"Teleworking is mandatory for all non-essential services, regardless of their size and for all employees for whom this is possible, without exception."
What about the functions for which teleworking is not possible?,"When telework is not possible, companies must guarantee social distancing. This rule also applies to the organisation of transport by the employer. If these measures are not complied with, these companies risk fines in the event of a first infringement. In the event of a second infringement, they must close down."
Do all sectors and services have to follow these rules?,"No, essential sectors can remain open and should try to ensure the best possible teleworking and social distancing. Non-essential services can only remain open if they can compulsorily insure telework and guarantee social distance, if not close."
Can co-working spaces still be rented out?,"Yes, if the people who work here can’t do homework. They must strictly apply social distance and hygiene measures. People from the essential sectors are also allowed to go to co-working spaces and must respect social distance as much as possible."
Are outsourcers and ancillary services of essential sectors allowed to carry out their activities?,"To the extent that they enable the essential sectors to continue to provide their services to the public, they may continue to provide their services, but only B2B, in the context of their existing commercial relationships. For example, lorries supplying food shops may still be cleaned, and window cleaning is permitted. Other examples must be assessed on a case-by-case basis."
What if an employer prohibits teleworking for 'organisational reasons'?,The employee can submit a complaint via the website of the FPS Employment: https://werk.belgie.be/nl/nieuws/coronavirus-wat-kan-ik-doen-als-mijn-werkgever-de-maatregelen-niet-respecteert
What about a company that employs workers from different countries of the European Union?,"The Ministerial Order of 23 March 2020 stipulates that companies - regardless of their size - are required to organise teleworking for every function where this is possible, without exception. However, this obligation does not apply to crucial sectors and essential services, which are listed in the Annex to the Ministerial Order (see http://www.ejustice.just.fgov.be/eli/besluit/2020/03/23/2020030347/staatsblad ). Nevertheless, these sectors must ensure that social distancing measures are respected as much as possible. During the weekend, the government also decided that borders will be closed to all traffic that is not strictly necessary. This means that workers based abroad can only cross Belgian borders if they are employed in crucial sectors and essential services. For the other sectors, foreign workers are obliged to telework. If this is not possible, the performance of their employment contract is suspended due to force majeure."
May tax checks at home continue?,You can find more information about this on the website of the FPS Finance: https://financien.belgium.be/nl/Actueel/coronavirus-uitstel-van-niet-essentiele-controles-ter-plaatse.
What about technical inspections of installations? Likewise for maintenance checks.,An inspection is important in the context of general safety. Maintenance surveys that are not legally required are non-urgent and may not be carried out at the customer’s premises. Only urgent works and interventions.
Are there support possibilities for persons who receive temporary unemployment benefit because they belong to the at-risk group and therefore cannot go to work?,"In Flanders, people who have difficulty paying their water and electricity bills can consult the website of the RVA: https://www.rva.be/nl/documentatie/infoblad/e1-0. In Wallonia, people who have difficulty paying their water bill can consult the following website: http://www.spge.be."
Can my employer make me take leave of absence if the company has to close down?,"No, the employer can’t force you."
What if you are temporarily unemployed as a result of the coronavirus? Do you still have to pay your mortgage or personal loans?,"Until 30 September, Belgian nationals in temporary unemployment no longer have to repay loans, and new loans are possible. For more information, please contact your bank."
Do documents relating to temporary unemployment still have to be stamped by the municipality?,"As regards temporary unemployment due to the coronavirus, the procedure has been considerably simplified. You can find the relevant information on the website of the RVA. See https://www.rva.be/nl/nieuws/tijdelijke-werkloosheid-ten-gevolge-van-het-uitbreken-van-het-coronavirus-covid-19-vereenvoudiging-van-de-procedure."
Can temporary unemployment be combined with other activities?,"Due to the exceptional circumstances, it is authorised, from 13 March to 13 June 2020, to combine the temporary unemployment benefit with another activity (voluntary work, complementary activity). Temporary agency workers who would normally continue to be employed by the same user may, exceptionally, also be allowed to be in temporary unemployment during the interruption of activity by COVID-19, if the contractual link with the temporary agency worker is maintained. More information: https://www.rva.be/nl and the press release of Minister for Work Nathalie Muylle of 23/03/2020."
Companies must respect social distance. Those who don't must close. Non-compliance is subject to fines. But what can an employee do about it? Where should he complain?,They can complain to the labour inspectorate via the website: https://werk.belgie.be/nl/nieuws/coronavirus-wat-kan-ik-doen-als-mijn-werkgever-de-maatregelen-niet-respecteert
Can employers refuse to allow volunteer firefighters teleworking at home to respond to calls?,"No, if the volunteer firefighter was given permission to respond to a call from their workplace, they can also do so while teleworking."
Can flexible arrangements be allowed for volunteer firefighters who are technically unemployed for tasks they are allowed to do?,It is permitted to carry out activities as a volunteer firefighter and civil protection volunteer without formalities; the fees received for this may be cumulated.
"What are the latest protocols and guidance for Medical Evacuation of staff members
with severe respiratory infections related to COVID-19? ","For the latest information on normal Medevac procedure for staff, go to:
https://hr.un.org/sites/hr.un.org/files/Coronavirus_MedevacGuidance_UN_RC_0.pdf
• For information on special Medevac procedure organized by the WHO in cases where
there are no ICU beds available in your country, see:
https://hr.un.org/sites/hr.un.org/files/COVIDMEDEVAC%20UN%20and%20PARTNERS.pdf"
Have medical insurance related questions?,"Please refer to Frequently Asked Questions for UN staff on Medical Insurance in connection with
the Novel Coronavirus (COVID-19) outbreak: https://www.un.org/sites/un2.un.org/files/2020-
03-09_faq_medical_insurance_covid-19_ra.pdf"
"What about self-quarantining after returning from an area/country of high
prevalence?","If you have just returned from an affected area, you should self-monitor for symptoms for
14 days after travel. During that period, you should immediately seek medical attention
should you develop any signs and symptoms, such as shortness of breath or cough.
• Self-quarantine for 14 days is recommended when you have been exposed to contact with
lab-confirmed COVID-19.
• Since this is a rapidly evolving situation, many member states are imposing quarantine
recommendations for travelers, which varies by country. We suggest monitoring the travel 
advisories issued from WHO and DHMOSH for up to date information
https://www.who.int/emergencies/diseases/novel-coronavirus-2019/travel-advice and
https://hr.un.org/page/travel-health-information"
". I just returned from travel to a country/area experiencing local transmission of
COVID-19. I am well and have no symptoms. Can I go back to the workplace? ","For any UN personnel who are free of symptoms, and returning from country/area or
territory experiencing local transmission of COVID-19, managers are encouraged to exercise
flexibility in terms of using remote working arrangements for staff in these situations who
would like to limit their contact with others and work from home for 14 days post-travel.
This is not mandatory but is strongly encouraged.
• Individuals returning from areas of outbreaks should be advised to review our health
advisory on this Coronavirus Disease (COVID-19) page so that you have awareness about the
disease. You should monitor yourself daily for signs of fever, respiratory symptoms (e.g.,
breathing difficulties, cough), and know where to seek medical attention if you are aware of
any symptoms within yourself. You should monitor yourself for at least 14 days after your
travel."
"What is the protocol for staff members returning to work after visiting COVID-19
affected countries (i.e., those with ongoing transmission)? ","If you have just returned from an affected area, you should self-monitor for symptoms for
14 days after travel.
• During that period, you should immediately seek medical attention should you develop any
signs and symptoms, such as shortness of breath or cough.
• Remember to share your previous travel history with your health care provider and make
every effort to inform them by phone prior to visiting a medical facility and wear a medical
mask when you seek medical care.
• You should only return to work when you are well and completely free of symptoms.
• HR personnel and managers are encouraged to exercise flexibility around remote working to
support staff"
"I plan to travel to / have a meeting in countries or territories currently experiencing
local transmission of COVID-19. Should I cancel this travel/meeting? ","While the WHO does not recommend and advises against the application of any travel
restrictions based on the information currently available on COVID-19, as an occupational
health measure, it is recommended that for all official travel, UN managers and/or UN
personnel undertake a risk assessment to evaluate the criticality of the proposed travel
balanced against the risks to the traveler for any travel to or meetings in affected areas
experiencing ongoing transmission of COVID-19. This includes risks posed by both medical
issues and evolving travel/border restrictions enacted by states parties.
• Please be aware that local authorities may begin to implement travel restrictions and health
screening measures for travelers entering or exiting the country. All UN personnel who are
planning to travel should check with the destination countries’ embassy, consulate, or
Ministry of Health and keep up to date with local health advice before and during your
travel. You should also comply with any screening measures put in place by local authorities.
• As the outbreak evolves, it can be difficult to predict the situation globally, and it would be
prudent to make contingency arrangements should the need arise. Feel free to consult us
further at dos-dhmosh-public-health@un.org as needed."
"Does the UN have any specific guidelines for meeting / mass gathering organizers and
participants during the COVID-19 outbreak? ","For meetings during the COVID-19 outbreak, the Division of Healthcare Management and
Occupational Safety and Health (DHMOSH) has prepared the following guidelines for
meeting organizers and participants which are available in the UN HR portal. UN offices
should use these global guidelines to develop local ones in accordance with host country
legislation.
• The WHO has also released an interim guidance with key planning recommendations for
mass gatherings in the context of the current COVID-19 outbreak."
What is the process for evaluating the criticality of official travels and meetings? ,"UN Medical Directors recommend that UN managers and/or UN personnel undertake a risk
assessment to evaluate the criticality of the proposed travel balanced against the risks to the
traveler for any travel to or meetings in affected areas experiencing ongoing transmission of
COVID-19."
What can we do if we don’t have any hand sanitizers in the office building?,"You should contact the Facilities Management Service of your local UN duty station,
organization or the building administration. "
"My colleague is sick but he/she insists that it is just the common cold and is reluctant
to work from home. What steps can we take to enforce “staying at home when not
well” amongst staff? ","While it is very likely that your colleague is only suffering from the common cold or flu, all
precautions should, nevertheless, be taken. Managers should encourage staff members with flu
symptoms to telecommute for some time until the symptoms have abated. Alternatively, if the
staff member is feeling unfit, he/she should take sick leave. This is a sensible approach at any
time to prevent the spreading of flu or other seasonal viruses. Supervisors are also encouraged
to exercise flexibility in terms of using remote working arrangements if the staff member would
like to limit their contact with others and work from home."
"When should we identify ourselves as ""being sick"" and stay at home? ","Although a fever is a sure sign that you are sick enough not to come to work, anyone
experiencing respiratory symptoms like coughing and sneezing should stay at home."
Should I start avoiding people of Asian descent and their businesses? ,"The virus can affect anyone regardless of nationality, race and color. The Organization will not
tolerate discrimination and encourages everyone to promote culturally appropriate and 
empathetic community engagement and to detect and rapidly respond to negative public
perceptions and counter misinformation. "
"Can I catch the virus from being in an enclosed space (i.e. bus, subway) in close
proximity to someone who doesn’t have respiratory symptoms?","Since the virus is transmitted through respiratory droplets, the risk of catching it from somebody
who is asymptomatic, even a contact of a confirmed COVID-19 case, is low. However, in light of
the pandemic, everyone should maintain social distancing, which means keeping at least 1
meter away from others, avoiding mass gatherings and areas with large numbers of people, and
practicing frequent hand washing and hand sanitizing according to the recommendation"
Is there a connection between COVID -19 and environment temperature? ,"It is not known yet if weather and temperature changes impact or has any connection with
COVID-19. At this time, it is not clear or known if the spread of COVID-19 will decrease when the
weather becomes warmer."
Is it safe to receive a package from an area where COVID-19 has been reported?,"Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of
catching the virus that causes COVID-19 from a package that has been moved, travelled, and
exposed to different conditions and temperature is also low."
Can people who recover from COVID-19 be infected again?,"We know that for similar coronaviruses, infected people are unlikely to be re-infected shortly
after they recover. However, because the immune response to COVID-19 is not yet understood,
it is not yet known whether similar immune protection will be observed for patients who have
recovered from COVID-19."
"What alternatives do I have if there are no hand sanitizers available? Can I use other
alcohol like ethyl or liquor? ","If hand sanitizers are not available, hand washing with soap and water is the recommended, and
even better, alternative. Liquor is not effective against coronavirus. For an alcohol-based hand
rub to be effective, it must have an alcohol content of 60% to 95%."
How can I get tested for COVID-19? ,"If you are well, no testing is recommended. If you are experiencing symptoms of COVID-19, you
should immediately isolate yourself from others. Call your local UN clinic/medical facility to
inform them of your condition and relevant travel/exposure history. If you had been identified
as a close contact of a case by the local Ministry of Health or WHO, please also indicate this.
From here you will be advised if a medical assessment is necessary and how to get tested. "
How long does the virus survive on surfaces? ,"It is not certain how long the virus that causes COVID-19 survives on surfaces, but it seems to
behave like other coronaviruses. Studies suggest that coronaviruses (including preliminary
information on the COVID-19 virus) may persist on surfaces for a few hours or up to several 
days. This may vary under different conditions (e.g. type of surface, temperature or humidity of
the environment)."
Can humans become infected with the COVID-19 from an animal source?,"Possible animal sources of COVID-19 have not yet been confirmed. To protect yourself, such as
when visiting live animal markets, avoid direct contact with animals and surfaces in contact with
animals. Ensure good food safety practices at all times. Handle raw meat, milk or animal organs
with care to avoid contamination of uncooked foods and avoid consuming raw or undercooked
animal products."
How long is the incubation and transmission period for COVID-19?,"The “incubation period” means the time between catching the virus and beginning to have
symptoms of the disease. Most estimates of the incubation period for COVID-19 range from 1-
14 days, most commonly around five days."
"I am looking after someone who is ill with suspect or confirmed COVID-19. What
precautions should I take?","You should limit the movement around the house of the individual who is ill and
minimize shared space.
• Ensure shared spaces like bathrooms, and the kitchen are well ventilated. One way to
do this is by keeping the windows open. Clean and disinfect the bathroom and toilet
surface at least once a day using regular household soap or detergent for cleaning and
then disinfecting with a regular household disinfectant containing 0.5% sodium
hypochlorite.
• Do not forget the importance of hand hygiene with alcohol-based hand-rub or soap and
water (if hands are visibly soiled).
• Whenever possible, household members should stay in a different room or maintain a
distance of at least 1 meter from the ill person.
• When helping care for the sick individual, wear a tightly fitted medical/surgical mask
that covers your nose and mouth when in the same room as the affected individual.
Make sure you are careful not to touch your mask. If your mask gets wet or dirty, it
should be replaced. When removing a mask, it is important to throw it away and
perform hand hygiene. Dispose of any material with respiratory secretions immediately
after use.
• Both the ill individual and you, as the caregiver, should perform hand hygiene after
contact with respiratory secretions."
"Until when should I wear a mask after recovering from an illness with respiratory
symptoms? ","In order to avoid infecting others, you should use a mask for as long as you are still coughing or
sneezing. You should only stop after a complete recovery (which means 24-48 hours after having
no symptoms without medication). "
How does COVID-19 spread?,"People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales. These droplets land on objects and surfaces around the person.                                                                              Other people then catch COVID-19 by touching these objects or surfaces, then touching their eyes, nose or mouth. People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets. This is why it is important to stay more than 1 meter (3 feet) away from a person who is sick."
I am well and asymptomatic. Should I use a mask? ,"According to the WHO, for individuals without respiratory symptoms, a medical mask is not
required, as no evidence is available on its usefulness to protect non-sick persons.
However, masks might be worn in some countries according to local cultural habits. If masks are
used, best practices should be followed on how to wear, remove, and dispose of them and on
hand hygiene action after removal. For more information, visit the WHO guidance on use of
masks in the community."
How likely am I to catch COVID-19? ,"The risk depends on where you are - and more specifically, whether there is a COVID-19
outbreak unfolding there.
For most people in most locations the risk of catching COVID-19 is still low. However, there are
now places around the world (cities or areas) where the disease is spreading. For people living 
in, or visiting, these areas the risk of catching COVID-19 is higher. Governments and health
authorities are taking vigorous action every time a new case of COVID-19 is identified. Be sure to
comply with any local restrictions on travel, movement or large gatherings. Cooperating with
disease control efforts will reduce your risk of catching or spreading COVID-19.
COVID-19 outbreaks can be contained and transmission stopped, as has been shown in China
and some other countries. Unfortunately, new outbreaks can emerge rapidly. It’s important to
be aware of the situation where you are or intend to go. WHO publishes daily updates on the
COVID-19 situation worldwide."
"Are pregnant women more susceptible to the COVID-19 virus and will it harm the
fetus?","We do not have information from published scientific reports about the susceptibility of
pregnant women to COVID-19. Pregnant women experience immunologic and physiologic
changes, which might make them more susceptible to viral respiratory infections, including
COVID-19.
The virus that causes COVID-19 is thought to spread mainly by close contact with an infected
person through respiratory droplets. Whether a pregnant woman with COVID-19 can transmit
the virus that causes COVID-19 to her fetus or neonate by other routes of vertical transmission
(before, during, or after delivery) is still unknown."
